Question	Logical Form
Does the patient have a history of smoking	SmokingUseEvent (x)	Does the patient have a history of smoking	SmokingUseEvent (x)
Does this patient have a history of smoking	SmokingUseEvent (x)	Does this patient have a history of smoking	SmokingUseEvent (x)
Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)	Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)
smoking habit	SmokingUseEvent (x)	smoking habit	SmokingUseEvent (x)
Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]	is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]
Has the patient quit smoking	SmokingQuitEvent (x)	Has the patient quit smoking	SmokingQuitEvent (x)
Has this patient ever tried to quit smoking	SmokingQuitEvent (x)	Has this patient ever tried to quit smoking	SmokingQuitEvent (x)
Does the patient have a history of smoking	SmokingUseEvent (x)	Does the patient have a history of smoking	SmokingUseEvent (x)
Does this patient have a history of smoking	SmokingUseEvent (x)	Does this patient have a history of smoking	SmokingUseEvent (x)
Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)	Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)
smoking habit	SmokingUseEvent (x)	smoking habit	SmokingUseEvent (x)
Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]	is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]
Has the patient quit smoking	SmokingQuitEvent (x)	Has the patient quit smoking	SmokingQuitEvent (x)
Has this patient ever tried to quit smoking	SmokingQuitEvent (x)	Has this patient ever tried to quit smoking	SmokingQuitEvent (x)
Does the patient have a history of smoking	SmokingUseEvent (x)	Does the patient have a history of smoking	SmokingUseEvent (x)
Does this patient have a history of smoking	SmokingUseEvent (x)	Does this patient have a history of smoking	SmokingUseEvent (x)
Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)	Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)
smoking habit	SmokingUseEvent (x)	smoking habit	SmokingUseEvent (x)
Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]	is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]
Has the patient quit smoking	SmokingQuitEvent (x)	Has the patient quit smoking	SmokingQuitEvent (x)
Has this patient ever tried to quit smoking	SmokingQuitEvent (x)	Has this patient ever tried to quit smoking	SmokingQuitEvent (x)
Does the patient have a history of smoking	SmokingUseEvent (x)	Does the patient have a history of smoking	SmokingUseEvent (x)
Does this patient have a history of smoking	SmokingUseEvent (x)	Does this patient have a history of smoking	SmokingUseEvent (x)
Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)	Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)
smoking habit	SmokingUseEvent (x)	smoking habit	SmokingUseEvent (x)
Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]	is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]
Has the patient quit smoking	SmokingQuitEvent (x)	Has the patient quit smoking	SmokingQuitEvent (x)
Has this patient ever tried to quit smoking	SmokingQuitEvent (x)	Has this patient ever tried to quit smoking	SmokingQuitEvent (x)
Does the patient have a history of smoking	SmokingUseEvent (x)	Does the patient have a history of smoking	SmokingUseEvent (x)
Does this patient have a history of smoking	SmokingUseEvent (x)	Does this patient have a history of smoking	SmokingUseEvent (x)
Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)	Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)
smoking habit	SmokingUseEvent (x)	smoking habit	SmokingUseEvent (x)
Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]	is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]
Has the patient quit smoking	SmokingQuitEvent (x)	Has the patient quit smoking	SmokingQuitEvent (x)
Has this patient ever tried to quit smoking	SmokingQuitEvent (x)	Has this patient ever tried to quit smoking	SmokingQuitEvent (x)
Does the patient have a history of smoking	SmokingUseEvent (x)	Does the patient have a history of smoking	SmokingUseEvent (x)
Does this patient have a history of smoking	SmokingUseEvent (x)	Does this patient have a history of smoking	SmokingUseEvent (x)
Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)	Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)
smoking habit	SmokingUseEvent (x)	smoking habit	SmokingUseEvent (x)
Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]	is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]
Has the patient quit smoking	SmokingQuitEvent (x)	Has the patient quit smoking	SmokingQuitEvent (x)
Has this patient ever tried to quit smoking	SmokingQuitEvent (x)	Has this patient ever tried to quit smoking	SmokingQuitEvent (x)
Does the patient have a history of smoking	SmokingUseEvent (x)	Does the patient have a history of smoking	SmokingUseEvent (x)
Does this patient have a history of smoking	SmokingUseEvent (x)	Does this patient have a history of smoking	SmokingUseEvent (x)
Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)	Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)
smoking habit	SmokingUseEvent (x)	smoking habit	SmokingUseEvent (x)
Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]	is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]
Has the patient quit smoking	SmokingQuitEvent (x)	Has the patient quit smoking	SmokingQuitEvent (x)
Has this patient ever tried to quit smoking	SmokingQuitEvent (x)	Has this patient ever tried to quit smoking	SmokingQuitEvent (x)
Does the patient have a history of smoking	SmokingUseEvent (x)	Does the patient have a history of smoking	SmokingUseEvent (x)
Does this patient have a history of smoking	SmokingUseEvent (x)	Does this patient have a history of smoking	SmokingUseEvent (x)
Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)	Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)
smoking habit	SmokingUseEvent (x)	smoking habit	SmokingUseEvent (x)
Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]	is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]
Has the patient quit smoking	SmokingQuitEvent (x)	Has the patient quit smoking	SmokingQuitEvent (x)
Has this patient ever tried to quit smoking	SmokingQuitEvent (x)	Has this patient ever tried to quit smoking	SmokingQuitEvent (x)
Does the patient have a history of smoking	SmokingUseEvent (x)	Does the patient have a history of smoking	SmokingUseEvent (x)
Does this patient have a history of smoking	SmokingUseEvent (x)	Does this patient have a history of smoking	SmokingUseEvent (x)
Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)	Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)
smoking habit	SmokingUseEvent (x)	smoking habit	SmokingUseEvent (x)
Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]	is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]
Has the patient quit smoking	SmokingQuitEvent (x)	Has the patient quit smoking	SmokingQuitEvent (x)
Has this patient ever tried to quit smoking	SmokingQuitEvent (x)	Has this patient ever tried to quit smoking	SmokingQuitEvent (x)
Does the patient have a history of smoking	SmokingUseEvent (x)	Does the patient have a history of smoking	SmokingUseEvent (x)
Does this patient have a history of smoking	SmokingUseEvent (x)	Does this patient have a history of smoking	SmokingUseEvent (x)
Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)	Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)
smoking habit	SmokingUseEvent (x)	smoking habit	SmokingUseEvent (x)
Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]	is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]
Has the patient quit smoking	SmokingQuitEvent (x)	Has the patient quit smoking	SmokingQuitEvent (x)
Has this patient ever tried to quit smoking	SmokingQuitEvent (x)	Has this patient ever tried to quit smoking	SmokingQuitEvent (x)
Does the patient have a history of smoking	SmokingUseEvent (x)	Does the patient have a history of smoking	SmokingUseEvent (x)
Does this patient have a history of smoking	SmokingUseEvent (x)	Does this patient have a history of smoking	SmokingUseEvent (x)
Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)	Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)
smoking habit	SmokingUseEvent (x)	smoking habit	SmokingUseEvent (x)
Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]	is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]
Has the patient quit smoking	SmokingQuitEvent (x)	Has the patient quit smoking	SmokingQuitEvent (x)
Has this patient ever tried to quit smoking	SmokingQuitEvent (x)	Has this patient ever tried to quit smoking	SmokingQuitEvent (x)
Does the patient have a history of smoking	SmokingUseEvent (x)	Does the patient have a history of smoking	SmokingUseEvent (x)
Does this patient have a history of smoking	SmokingUseEvent (x)	Does this patient have a history of smoking	SmokingUseEvent (x)
Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)	Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)
smoking habit	SmokingUseEvent (x)	smoking habit	SmokingUseEvent (x)
Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]	is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]
Has the patient quit smoking	SmokingQuitEvent (x)	Has the patient quit smoking	SmokingQuitEvent (x)
Has this patient ever tried to quit smoking	SmokingQuitEvent (x)	Has this patient ever tried to quit smoking	SmokingQuitEvent (x)
Does the patient have a history of smoking	SmokingUseEvent (x)	Does the patient have a history of smoking	SmokingUseEvent (x)
Does this patient have a history of smoking	SmokingUseEvent (x)	Does this patient have a history of smoking	SmokingUseEvent (x)
Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)	Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)
smoking habit	SmokingUseEvent (x)	smoking habit	SmokingUseEvent (x)
Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]	is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]
Has the patient quit smoking	SmokingQuitEvent (x)	Has the patient quit smoking	SmokingQuitEvent (x)
Has this patient ever tried to quit smoking	SmokingQuitEvent (x)	Has this patient ever tried to quit smoking	SmokingQuitEvent (x)
Does the patient have a history of smoking	SmokingUseEvent (x)	Does the patient have a history of smoking	SmokingUseEvent (x)
Does this patient have a history of smoking	SmokingUseEvent (x)	Does this patient have a history of smoking	SmokingUseEvent (x)
Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)	Is there mention of smoking history anywhere in the record	SmokingUseEvent (x)
smoking habit	SmokingUseEvent (x)	smoking habit	SmokingUseEvent (x)
Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient currently smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]	Does the patient smoke	SmokingUseEvent (x) [IsTobaccoUser=x]
is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]	is the patient currently a smoker	SmokingUseEvent (x) [IsTobaccoUser=x]
